city,Income Poverty Rate (%),Percent of Households Who Are Unbanked  (%),Percent of Households Who Are Underbanked  (%)
"Altamonte Springs, FL",10.6,2,13
"Apopka, FL",10.6,5,18
"Aventura, FL",11.2,5,19
"Bayonet Point, FL",18,4,13
"Bonita Springs, FL",8.6,2,9
"Bradenton, FL",14.7,4,12
"Buenaventura Lakes, FL",11.9,3,15
"Carrollwood, FL",7.3,4,15
"Casselberry, FL",15.5,3,13
"Citrus Park, FL",11.5,3,15
"Clermont, FL",8.2,3,12
"Coconut Creek, FL",9.2,4,16
"Cooper City, FL",4.4,3,15
"Coral Gables, FL",7.5,3,15
"Coral Terrace, FL",13,4,19
"Country Club, FL",16,5,22
"Cutler Bay, FL",11.7,5,20
"Dania Beach, FL",16.8,5,18
"Daytona Beach, FL",21.8,5,13
"DeLand, FL",11.4,3,12
"Delray Beach, FL",12.3,3,11
"Doral, FL",10.4,5,24
"Dunedin, FL",9.7,3,10
"East Lake, FL",8.7,3,10
"East Lake-Orient Park, FL",16.6,6,18
"Egypt Lake-Leto, FL",17.4,4,15
"Estero, FL",6.4,2,9
"Ferry Pass, FL",15.7,4,13
"Fleming Island, FL",3.7,3,12
Florida,13.1,4,18
"Fort Pierce, FL",27.1,6,15
"Fountainebleau, FL",12.7,7,25
"Four Corners, FL",12,4,14
"Fruit Cove, FL",2.1,2,9
"Golden Gate, FL",13.3,4,13
"Golden Glades, FL",19.2,10,27
"Greenacres, FL",15.3,6,20
"Hallandale Beach, FL",20.6,6,23
"Homestead, FL",21.4,8,23
"Horizon West, FL",7.2,2,15
"Immokalee, FL",28.4,4,14
"Jupiter, FL",7.2,2,9
"Kendale Lakes, FL",11.7,5,21
"Kendall West, FL",15,5,21
"Keystone, FL",3.6,3,15
"Kissimmee, FL",24.6,5,19
"Lake Magdalene, FL",11.6,4,15
"Lakeside, FL",10.1,3,12
"Land O' Lakes, FL",8.2,2,11
"Lauderdale Lakes, FL",20.5,10,26
"Lauderhill, FL",19.3,11,27
"Leisure City, FL",23.1,10,25
"Margate, FL",12.3,4,16
"Meadow Woods, FL",9,3,17
"Merritt Island, FL",6.9,2,9
"Miami Lakes, FL",6.1,5,22
"Navarre, FL",10.3,2,11
"New Smyrna Beach, FL",10.6,3,11
"North Fort Myers, FL",13.4,5,15
"North Lauderdale, FL",17.6,6,18
"North Miami Beach, FL",12,6,22
"North Miami, FL",19.4,9,26
"North Port, FL",5.6,2,9
"Oakland Park, FL",15.8,6,19
"Oakleaf Plantation, FL",7.3,3,12
"Ocala, FL",18,5,14
"Ocoee, FL",10.4,5,17
"Ormond Beach, FL",9.1,5,13
"Oviedo, FL",5.8,2,12
"Palm Beach Gardens, FL",6.1,4,12
"Palm Harbor, FL",9.2,3,10
"Panama City, FL",17.8,4,13
"Parkland, FL",4.1,3,16
"Pensacola, FL",15.3,5,15
"Pinellas Park, FL",13.2,4,13
"Plant City, FL",15.5,5,15
"Poinciana, FL",12.9,5,17
"Port Charlotte, FL",12,3,9
"Port Orange, FL",12.7,3,11
"Princeton, FL",11.2,6,21
"Richmond West, FL",10.2,4,20
"Riviera Beach, FL",19.3,4,13
"Rockledge, FL",8.4,3,11
"Royal Palm Beach, FL",3.9,5,16
"Ruskin, FL",16.9,3,13
"Sanford, FL",14.2,4,15
"Sarasota, FL",14.4,3,11
"Sebastian, FL",7.8,3,10
"South Bradenton, FL",16.7,4,13
"South Miami Heights, FL",17.7,7,23
"St. Cloud, FL",11.3,3,15
"Tamarac, FL",12.6,6,19
"Tamiami, FL",11.9,5,22
"Tarpon Springs, FL",11.7,3,10
"Temple Terrace, FL",14.8,6,18
"The Acreage, FL",4.8,6,17
"The Hammocks, FL",12.8,3,20
"Titusville, FL",12.8,3,11
US,12.8,5,14
"University, FL",37,6,18
"University, FL",24.9,4,17
"Valrico, FL",8.5,4,15
"Wellington, FL",6.2,2,11
"Wesley Chapel, FL",7.1,2,12
"West Little River, FL",22.4,12,27
"Westchester, FL",10.3,4,19
"Weston, FL",5.7,2,15
"Winter Garden, FL",10.3,5,17
"Winter Haven, FL",15.6,5,15
"Winter Park, FL",8.8,5,15
"Winter Springs, FL",6.5,3,13
"Acworth, GA",8.6,3,14
"Americus, GA",28.7,10,16
"Apollo Beach, FL",3.9,3,13
"Asbury Lake, FL",7.3,3,12
"Atlantic Beach, FL",4.2,2,12
"Auburndale, FL",12.4,5,15
"Avon Park, FL",22.8,7,15
"Azalea Park, FL",16.6,5,16
"Bainbridge, GA",19.9,11,17
"Bartow, FL",16.9,5,14
"Bayshore Gardens, FL",15.7,3,10
"Bellair-Meadowbrook Terrace, FL",13.8,3,12
"Belle Glade, FL",34.6,6,17
"Bellview, FL",12.5,5,14
"Belvedere Park, GA",15,6,16
"Bloomingdale, FL",4.8,3,13
"Braselton, GA",3.6,4,14
"Brent, FL",23.3,5,15
"Brownsville, FL",36,9,25
"Brunswick, GA",32.8,6,14
"Buford, GA",13,3,14
"Calhoun, GA",24.3,5,13
"Callaway, FL",12.5,4,13
"Candler-McAfee, GA",16.9,6,16
"Cape Canaveral, FL",9.7,2,9
"Cartersville, GA",14.9,4,14
"Cheval, FL",5.5,4,15
"Clarkston, GA",25.9,6,19
"Cocoa Beach, FL",9.8,2,9
"Cocoa, FL",12.6,3,11
"College Park, GA",19.7,8,23
"Conway, FL",6.4,7,20
"Conyers, GA",17.5,5,18
"Cordele, GA",39.5,10,16
"Country Walk, FL",5.9,3,19
"Covington, GA",21,5,18
"Crestview, FL",12.5,3,13
"Cusseta, GA",17.8,7,19
"Cypress Gardens, FL",8.2,4,14
"Cypress Lake, FL",7.9,2,9
"Dallas, GA",16.5,2,13
"DeBary, FL",5.7,3,12
